,0
0,NVR_ch1_main_20180505
1,NVR_ch1_main_20180519
2,NVR_ch1_main_20180528
3,NVR_ch1_main_20180526
4,NVR_ch1_main_20180525
5,NVR_ch1_main_20180503
6,NVR_ch2_main_20180509
7,NVR_ch2_main_20180504
8,NVR_ch2_main_20180516
9,NVR_ch2_main_20180525
10,NVR_ch2_main_20180515
11,NVR_ch2_main_20180521
12,NVR_ch1_main_20180613
13,NVR_ch1_main_20180626
14,NVR_ch1_main_20180607
15,NVR_ch1_main_20180604
16,NVR_ch1_main_20180616
17,NVR_ch1_main_20180601
18,NVR_ch2_main_20180629
19,NVR_ch2_main_20180627
20,NVR_ch2_main_20180613
21,NVR_ch2_main_20180614
22,NVR_ch2_main_20180620
23,NVR_ch2_main_20180625
24,NVR_ch1_main_20180725
25,NVR_ch1_main_20180701
26,NVR_ch1_main_20180723
27,NVR_ch1_main_20180715
28,NVR_ch1_main_20180709
29,NVR_ch1_main_20180724
30,NVR_ch2_main_20180726
31,NVR_ch2_main_20180708
32,NVR_ch2_main_20180719
33,NVR_ch2_main_20180731
34,NVR_ch2_main_20180704
35,NVR_ch2_main_20180729
36,NVR_ch1_main_20180811
37,NVR_ch1_main_20180801
38,NVR_ch1_main_20180821
39,NVR_ch1_main_20180818
40,NVR_ch1_main_20180831
41,NVR_ch1_main_20180829
42,NVR_ch2_main_20180813
43,NVR_ch2_main_20180822
44,NVR_ch2_main_20180807
45,NVR_ch2_main_20180814
46,NVR_ch2_main_20180824
47,NVR_ch2_main_20180801
48,NVR_ch2_main_20180813
49,NVR_ch2_main_20180822
50,NVR_ch2_main_20180807
51,NVR_ch2_main_20180814
52,NVR_ch2_main_20180824
53,NVR_ch2_main_20180801
54,NVR_ch1_main_20180917
55,NVR_ch1_main_20180908
56,NVR_ch1_main_20180925
57,NVR_ch1_main_20180915
58,NVR_ch1_main_20180931
59,NVR_ch1_main_20180916
60,NVR_ch1_main_20180918
61,NVR_ch1_main_20180912
62,NVR_ch1_main_20180922
63,NVR_ch1_main_20180910
64,NVR_ch1_main_20180930
65,NVR_ch1_main_20180901
66,NVR_ch1_main_20181014
67,NVR_ch1_main_20181027
68,NVR_ch1_main_20181030
69,NVR_ch1_main_20181018
70,NVR_ch1_main_20181021
71,NVR_ch1_main_20181004
72,NVR_ch2_main_20181006
73,NVR_ch2_main_20181021
74,NVR_ch2_main_20181024
75,NVR_ch2_main_20181028
76,NVR_ch2_main_20181010
77,NVR_ch2_main_20181004
78,NVR_ch1_main_20181124
79,NVR_ch1_main_20181111
80,NVR_ch1_main_20181129
81,NVR_ch1_main_20181123
82,NVR_ch1_main_20181117
83,NVR_ch1_main_20181130
84,NVR_ch2_main_20181131
85,NVR_ch2_main_20181114
86,NVR_ch2_main_20181117
87,NVR_ch2_main_20181127
88,NVR_ch2_main_20181130
89,NVR_ch2_main_20181122
90,NVR_ch1_main_20181207
91,NVR_ch1_main_20181210
92,NVR_ch1_main_20181219
93,NVR_ch1_main_20181229
94,NVR_ch2_main_20181216
95,NVR_ch2_main_20181228
96,NVR_ch2_main_20181231
97,NVR_ch2_main_20181217
98,NVR_ch9_main_20181213
99,NVR_ch9_main_20181219
100,NVR_ch9_main_20181228
101,NVR_ch9_main_20181202
102,NVR_ch1_main_20190116
103,NVR_ch1_main_20190108
104,NVR_ch1_main_20190124
105,NVR_ch1_main_20190126
106,NVR_ch1_main_20190113
107,NVR_ch1_main_20190114
108,NVR_ch9_main_20190122
109,NVR_ch9_main_20190106
110,NVR_ch9_main_20190112
111,NVR_ch9_main_20190118
112,NVR_ch9_main_20190129
113,NVR_ch9_main_20190123
114,NVR_ch1_main_20190225
115,NVR_ch1_main_20190222
116,NVR_ch1_main_20190224
117,NVR_ch1_main_20190212
118,NVR_ch2_main_20190203
119,NVR_ch2_main_20190215
120,NVR_ch2_main_20190222
121,NVR_ch2_main_20190217
122,NVR_ch9_main_20190204
123,NVR_ch9_main_20190225
124,NVR_ch9_main_20190206
125,NVR_ch9_main_20190217
126,NVR_ch15_main_20190301
127,NVR_ch15_main_20190327
128,NVR_ch15_main_20190313
129,NVR_ch15_main_20190312
130,NVR_ch2_main_20190316
131,NVR_ch2_main_20190324
132,NVR_ch2_main_20190301
133,NVR_ch2_main_20190302
134,NVR_ch9_main_20190310
135,NVR_ch9_main_20190323
136,NVR_ch9_main_20190328
137,NVR_ch9_main_20190320
138,NVR_ch1_main_20190419
139,NVR_ch1_main_20190413
140,NVR_ch1_main_20190421
141,NVR_ch1_main_20190406
142,NVR_ch2_main_20190406
143,NVR_ch2_main_20190417
144,NVR_ch2_main_20190408
145,NVR_ch2_main_20190401
146,NVR_ch9_main_20190401
147,NVR_ch9_main_20190425
148,NVR_ch9_main_20190407
149,NVR_ch9_main_20190418
